Id,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016-05-12,0,0.0,0.0,0.0,0.0,0,0,0,1440,0
1624580081,2016-05-12,2971,1.92999994754791,0.0,0.0,1.91999995708466,0,0,107,890,1002
1844505072,2016-05-12,0,0.0,0.0,0.0,0.0,0,0,0,711,665
1927972279,2016-05-12,0,0.0,0.0,0.0,0.0,0,0,0,966,1383
2022484408,2016-05-12,9117,6.40999984741211,1.27999997138977,0.670000016689301,4.44000005722046,16,16,236,728,1853
2026352035,2016-05-12,8891,5.51000022888184,0.0,0.0,5.51000022888184,0,0,343,330,1364
2320127002,2016-05-12,2661,1.78999996185303,0.0,0.0,1.78999996185303,0,0,128,830,1125
2873212765,2016-05-12,7566,5.1100001335144,0.0,0.0,5.1100001335144,0,0,268,720,1431
4020332650,2016-05-12,590,0.419999986886978,0.0,0.0,0.409999996423721,0,0,21,721,1120
4319703577,2016-05-12,17,0.00999999977648258,0.0,0.0,0.00999999977648258,0,0,2,0,257
4388161847,2016-05-12,3369,2.58999991416931,0.0,0.0,2.58999991416931,0,0,108,825,1623
4445114986,2016-05-12,768,0.519999980926514,0.0,0.0,0.519999980926514,0,0,58,380,1212
4558609924,2016-05-12,6307,4.17000007629395,0.0,0.0,4.17000007629395,0,0,247,736,1452
4702921684,2016-05-12,2752,2.23000001907349,0.0,0.0,2.23000001907349,0,0,68,241,1240
5553957443,2016-05-12,3121,2.03999996185303,0.579999983310699,0.400000005960464,1.05999994277954,8,6,48,222,741
6962181067,2016-05-12,3587,2.36999988555908,0.0,0.25,2.10999989509583,0,8,105,127,928
7086361926,2016-05-12,3789,2.55999994277954,0.379999995231628,0.270000010728836,1.88999998569489,5,4,58,343,1199
8053475328,2016-05-12,4998,3.91000008583069,2.95000004768372,0.200000002980232,0.759999990463257,28,4,39,839,1505
8378563200,2016-05-12,4561,3.61999988555908,0.649999976158142,0.270000010728836,2.69000005722046,8,6,102,433,1976
8583815059,2016-05-12,0,0.0,0.0,0.0,0.0,0,0,0,1440,0
8877689391,2016-05-12,8064,6.11999988555908,1.82000005245209,0.0399999991059303,4.25,23,1,137,770,1849
1503960366,2016-05-11,12770,8.13000011444092,2.55999994277954,1.00999999046326,4.55000019073486,36,23,251,669,1783
1624580081,2016-05-11,3134,2.03999996185303,0.0,0.0,2.03999996185303,0,0,112,1328,1359
1644430081,2016-05-11,1329,0.970000028610229,0.0,0.0,0.949999988079071,0,0,49,713,1276
1844505072,2016-05-11,0,0.0,0.0,0.0,0.0,0,0,0,1440,1347
1927972279,2016-05-11,0,0.0,0.0,0.0,0.0,0,0,0,1440,2063
2022484408,2016-05-11,13272,9.31999969482422,4.17999982833862,1.14999997615814,3.99000000953674,58,25,224,1133,2544
2026352035,2016-05-11,8580,5.32000017166138,0.0,0.0,5.32000017166138,0,0,330,569,1698
2320127002,2016-05-11,6424,4.32999992370605,0.0,0.0,4.32999992370605,0,0,300,1140,1903
2873212765,2016-05-11,6440,4.32999992370605,0.0,0.0,4.32000017166138,0,0,319,1121,1826
3977333714,2016-05-11,746,0.5,0.370000004768372,0.0,0.129999995231628,4,0,9,13,52
4020332650,2016-05-11,3689,2.65000009536743,0.109999999403954,0.170000001788139,2.32999992370605,2,8,134,1296,2645
4319703577,2016-05-11,9129,6.13000011444092,0.200000002980232,0.740000009536743,5.17999982833862,3,18,311,574,2232
4388161847,2016-05-11,10201,7.84000015258789,0.529999971389771,0.790000021457672,6.53000020980835,8,18,256,858,2954
4445114986,2016-05-11,9105,6.1100001335144,2.25,1.0,2.85999989509583,34,22,232,622,2499
4558609924,2016-05-11,9108,6.01999998092651,0.259999990463257,1.82000005245209,3.94000005722046,4,31,324,1081,2131
4702921684,2016-05-11,9810,7.96000003814697,0.779999971389771,2.16000008583069,4.98000001907349,10,41,235,784,3069
5553957443,2016-05-11,4926,3.22000002861023,0.0,0.0,3.22000002861023,0,0,195,628,1693
5577150313,2016-05-11,4038,3.03999996185303,1.83000004291534,0.300000011920929,0.889999985694885,45,15,63,257,1665
6962181067,2016-05-11,6722,4.44000005722046,1.49000000953674,0.310000002384186,2.65000009536743,24,7,199,709,1855
7086361926,2016-05-11,9572,6.51999998092651,2.89000010490417,1.38999998569489,2.23000001907349,57,40,128,757,2735
