id,activity_date,total_steps,total_distance,sedentary_minutes,calories,total_sleep_records,total_minutes_asleep,total_time_in_bed,total_hours_asleep,total_hours_in_bed,weight_kg,weight_pounds,bmi,is_manual_report
1503960366,2016-04-12,13162,8.5,728,1985,1,327,346,5.4499998092651367,5.7699999809265137,,,,
1503960366,2016-04-13,10735,6.9699997901916504,776,1797,2,384,407,6.4000000953674316,6.7800002098083496,,,,
1503960366,2016-04-15,9762,6.2800002098083496,726,1745,1,412,442,6.869999885559082,7.369999885559082,,,,
1503960366,2016-04-16,12669,8.1599998474121094,773,1863,2,340,367,5.6700000762939453,6.119999885559082,,,,
1503960366,2016-04-17,9705,6.4800000190734863,539,1728,1,700,712,11.670000076293945,11.869999885559082,,,,
1503960366,2016-04-19,15506,9.880000114440918,775,2035,1,304,320,5.070000171661377,5.3299999237060547,,,,
1503960366,2016-04-20,10544,6.679999828338623,818,1786,1,360,377,6,6.2800002098083496,,,,
1503960366,2016-04-21,9819,6.3400001525878906,838,1775,1,325,364,5.4200000762939453,6.070000171661377,,,,
1503960366,2016-04-23,14371,9.0399999618530273,732,1949,1,361,384,6.0199999809265137,6.4000000953674316,,,,
1503960366,2016-04-24,10039,6.4099998474121094,709,1788,1,430,449,7.1700000762939453,7.4800000190734863,,,,
1503960366,2016-04-25,15355,9.8000001907348633,814,2013,1,277,323,4.619999885559082,5.380000114440918,,,,
1503960366,2016-04-26,13755,8.7899999618530273,833,1970,1,245,274,4.0799999237060547,4.570000171661377,,,,
1503960366,2016-04-28,13154,8.5299997329711914,782,1898,1,366,393,6.0999999046325684,6.5500001907348633,,,,
1503960366,2016-04-29,11181,7.1500000953674316,815,1837,1,341,354,5.679999828338623,5.9000000953674316,,,,
1503960366,2016-04-30,14673,9.25,712,1947,1,404,425,6.7300000190734863,7.0799999237060547,,,,
1503960366,2016-05-01,10602,6.809999942779541,730,1820,1,369,396,6.1500000953674316,6.5999999046325684,,,,
1503960366,2016-05-02,14727,9.7100000381469727,798,2004,1,277,309,4.619999885559082,5.1500000953674316,52.599998474121094,115.96315002441406,22.649999618530273,True
1503960366,2016-05-03,15103,9.6599998474121094,816,1990,1,273,296,4.5500001907348633,4.929999828338623,52.599998474121094,115.96315002441406,22.649999618530273,True
1503960366,2016-05-05,14070,8.8999996185302734,857,1959,1,247,264,4.119999885559082,4.4000000953674316,,,,
1503960366,2016-05-06,12159,8.0299997329711914,754,1896,1,334,367,5.570000171661377,6.119999885559082,,,,
1503960366,2016-05-07,11992,7.7100000381469727,833,1821,1,331,349,5.5199999809265137,5.820000171661377,,,,
1503960366,2016-05-08,10060,6.5799999237060547,574,1740,1,594,611,9.8999996185302734,10.180000305175781,,,,
1503960366,2016-05-09,12022,7.7199997901916504,835,1819,1,338,342,5.630000114440918,5.6999998092651367,,,,
